02/22/24 13:51:55 EST -0500 | ########## START ##########
03/19/24 23:45:02 EST -0500 | ########## START ##########
03/19/24 23:45:10 EST -0500 | ##########  END  ##########
03/20/24 23:45:02 EST -0500 | ########## START ##########
03/20/24 23:45:11 EST -0500 | ##########  END  ##########
03/21/24 23:45:02 EST -0500 | ########## START ##########
03/21/24 23:45:10 EST -0500 | ##########  END  ##########
03/22/24 23:45:02 EST -0500 | ########## START ##########
03/22/24 23:45:11 EST -0500 | ##########  END  ##########
03/23/24 23:45:02 EST -0500 | ########## START ##########
03/23/24 23:45:11 EST -0500 | ##########  END  ##########
03/24/24 23:45:02 EST -0500 | ########## START ##########
03/24/24 23:45:12 EST -0500 | ##########  END  ##########
03/25/24 23:45:02 EST -0500 | ########## START ##########
03/25/24 23:45:12 EST -0500 | ##########  END  ##########
03/26/24 23:45:02 EST -0500 | ########## START ##########
03/26/24 23:45:12 EST -0500 | ##########  END  ##########
03/27/24 23:45:02 EST -0500 | ########## START ##########
03/27/24 23:45:12 EST -0500 | ##########  END  ##########
03/28/24 23:45:02 EST -0500 | ########## START ##########
03/28/24 23:45:12 EST -0500 | ##########  END  ##########
03/29/24 23:45:02 EST -0500 | ########## START ##########
03/29/24 23:45:13 EST -0500 | ##########  END  ##########
03/30/24 23:45:02 EST -0500 | ########## START ##########
03/30/24 23:45:13 EST -0500 | ##########  END  ##########
03/31/24 23:45:02 EST -0500 | ########## START ##########
03/31/24 23:45:13 EST -0500 | ##########  END  ##########
04/01/24 23:45:02 EST -0500 | ########## START ##########
04/01/24 23:45:06 EST -0500 | ##########  END  ##########
04/02/24 23:45:02 EST -0500 | ########## START ##########
04/02/24 23:45:07 EST -0500 | ##########  END  ##########
04/03/24 23:45:02 EST -0500 | ########## START ##########
04/03/24 23:45:07 EST -0500 | ##########  END  ##########
04/04/24 23:45:02 EST -0500 | ########## START ##########
04/04/24 23:45:07 EST -0500 | ##########  END  ##########
04/05/24 23:45:02 EST -0500 | ########## START ##########
04/05/24 23:45:07 EST -0500 | ##########  END  ##########
04/06/24 23:45:02 EST -0500 | ########## START ##########
04/06/24 23:45:08 EST -0500 | ##########  END  ##########
04/07/24 23:45:02 EST -0500 | ########## START ##########
04/07/24 23:45:08 EST -0500 | ##########  END  ##########
04/08/24 23:45:02 EST -0500 | ########## START ##########
04/08/24 23:45:06 EST -0500 | ##########  END  ##########
04/09/24 23:45:02 EST -0500 | ########## START ##########
04/09/24 23:45:06 EST -0500 | ##########  END  ##########
04/10/24 23:45:01 EST -0500 | ########## START ##########
04/10/24 23:45:06 EST -0500 | ##########  END  ##########
04/11/24 23:45:02 EST -0500 | ########## START ##########
04/11/24 23:45:07 EST -0500 | ##########  END  ##########
04/12/24 23:45:02 EST -0500 | ########## START ##########
04/12/24 23:45:07 EST -0500 | ##########  END  ##########
04/13/24 23:45:02 EST -0500 | ########## START ##########
04/13/24 23:45:07 EST -0500 | ##########  END  ##########
04/14/24 23:45:02 EST -0500 | ########## START ##########
04/14/24 23:45:08 EST -0500 | ##########  END  ##########
04/15/24 23:45:02 EST -0500 | ########## START ##########
04/15/24 23:45:07 EST -0500 | ##########  END  ##########
04/16/24 23:45:02 EST -0500 | ########## START ##########
04/16/24 23:45:07 EST -0500 | ##########  END  ##########
04/17/24 23:45:02 EST -0500 | ########## START ##########
04/17/24 23:45:07 EST -0500 | ##########  END  ##########
04/18/24 23:45:02 EST -0500 | ########## START ##########
04/18/24 23:45:07 EST -0500 | ##########  END  ##########
04/19/24 23:45:02 EST -0500 | ########## START ##########
04/19/24 23:45:08 EST -0500 | ##########  END  ##########
04/20/24 23:45:01 EST -0500 | ########## START ##########
04/20/24 23:45:07 EST -0500 | ##########  END  ##########
04/21/24 23:45:02 EST -0500 | ########## START ##########
04/21/24 23:45:08 EST -0500 | ##########  END  ##########
04/22/24 23:45:02 EST -0500 | ########## START ##########
04/22/24 23:45:09 EST -0500 | ##########  END  ##########
04/23/24 23:45:02 EST -0500 | ########## START ##########
04/23/24 23:45:09 EST -0500 | ##########  END  ##########
04/24/24 23:45:02 EST -0500 | ########## START ##########
04/24/24 23:45:09 EST -0500 | ##########  END  ##########
04/25/24 23:45:02 EST -0500 | ########## START ##########
04/25/24 23:45:09 EST -0500 | ##########  END  ##########
04/26/24 23:45:02 EST -0500 | ########## START ##########
04/26/24 23:45:09 EST -0500 | ##########  END  ##########
04/27/24 23:45:02 EST -0500 | ########## START ##########
04/27/24 23:45:10 EST -0500 | ##########  END  ##########
04/28/24 23:45:02 EST -0500 | ########## START ##########
04/28/24 23:45:10 EST -0500 | ##########  END  ##########
04/29/24 23:45:01 EST -0500 | ########## START ##########
04/29/24 23:45:10 EST -0500 | ##########  END  ##########
04/30/24 23:45:02 EST -0500 | ########## START ##########
04/30/24 23:45:11 EST -0500 | ##########  END  ##########
05/01/24 23:45:02 EST -0500 | ########## START ##########
05/01/24 23:45:10 EST -0500 | ##########  END  ##########
05/02/24 23:45:02 EST -0500 | ########## START ##########
05/02/24 23:45:12 EST -0500 | ##########  END  ##########
05/03/24 23:45:02 EST -0500 | ########## START ##########
05/03/24 23:45:12 EST -0500 | ##########  END  ##########
05/04/24 23:45:02 EST -0500 | ########## START ##########
05/04/24 23:45:11 EST -0500 | ##########  END  ##########
05/05/24 23:45:01 EST -0500 | ########## START ##########
05/05/24 23:45:11 EST -0500 | ##########  END  ##########
05/06/24 23:45:02 EST -0500 | ########## START ##########
05/06/24 23:45:05 EST -0500 | ##########  END  ##########
05/07/24 23:45:02 EST -0500 | ########## START ##########
05/07/24 23:45:06 EST -0500 | ##########  END  ##########
05/08/24 23:45:02 EST -0500 | ########## START ##########
05/08/24 23:45:06 EST -0500 | ##########  END  ##########
05/09/24 23:45:02 EST -0500 | ########## START ##########
05/09/24 23:45:06 EST -0500 | ##########  END  ##########
05/10/24 23:45:02 EST -0500 | ########## START ##########
05/10/24 23:45:05 EST -0500 | ##########  END  ##########
05/11/24 23:45:02 EST -0500 | ########## START ##########
05/11/24 23:45:06 EST -0500 | ##########  END  ##########
05/12/24 23:45:02 EST -0500 | ########## START ##########
05/12/24 23:45:06 EST -0500 | ##########  END  ##########
05/13/24 23:45:02 EST -0500 | ########## START ##########
05/13/24 23:45:07 EST -0500 | ##########  END  ##########
05/14/24 23:45:02 EST -0500 | ########## START ##########
05/14/24 23:45:06 EST -0500 | ##########  END  ##########
05/15/24 23:45:02 EST -0500 | ########## START ##########
05/15/24 23:45:07 EST -0500 | ##########  END  ##########
05/16/24 23:45:01 EST -0500 | ########## START ##########
05/16/24 23:45:06 EST -0500 | ##########  END  ##########
05/17/24 23:45:02 EST -0500 | ########## START ##########
05/17/24 23:45:07 EST -0500 | ##########  END  ##########
05/18/24 23:45:02 EST -0500 | ########## START ##########
05/18/24 23:45:07 EST -0500 | ##########  END  ##########
05/19/24 23:45:02 EST -0500 | ########## START ##########
05/19/24 23:45:07 EST -0500 | ##########  END  ##########
05/20/24 23:45:02 EST -0500 | ########## START ##########
05/20/24 23:45:06 EST -0500 | ##########  END  ##########
05/21/24 23:45:02 EST -0500 | ########## START ##########
05/21/24 23:45:07 EST -0500 | ##########  END  ##########
05/22/24 23:45:02 EST -0500 | ########## START ##########
05/22/24 23:45:07 EST -0500 | ##########  END  ##########
05/23/24 23:45:02 EST -0500 | ########## START ##########
05/23/24 23:45:07 EST -0500 | ##########  END  ##########
05/24/24 23:45:02 EST -0500 | ########## START ##########
05/24/24 23:45:06 EST -0500 | ##########  END  ##########
05/25/24 23:45:02 EST -0500 | ########## START ##########
05/25/24 23:45:07 EST -0500 | ##########  END  ##########
05/28/24 23:45:02 EST -0500 | ########## START ##########
05/28/24 23:45:06 EST -0500 | ##########  END  ##########
05/29/24 23:45:02 EST -0500 | ########## START ##########
05/29/24 23:45:06 EST -0500 | ##########  END  ##########
05/30/24 23:45:02 EST -0500 | ########## START ##########
05/30/24 23:45:07 EST -0500 | ##########  END  ##########
05/31/24 23:45:02 EST -0500 | ########## START ##########
05/31/24 23:45:07 EST -0500 | ##########  END  ##########
06/01/24 23:45:01 EST -0500 | ########## START ##########
06/01/24 23:45:07 EST -0500 | ##########  END  ##########
06/02/24 23:45:02 EST -0500 | ########## START ##########
06/02/24 23:45:07 EST -0500 | ##########  END  ##########
06/03/24 23:45:02 EST -0500 | ########## START ##########
06/03/24 23:45:07 EST -0500 | ##########  END  ##########
06/04/24 23:45:02 EST -0500 | ########## START ##########
06/04/24 23:45:07 EST -0500 | ##########  END  ##########
06/05/24 23:45:02 EST -0500 | ########## START ##########
06/05/24 23:45:06 EST -0500 | ##########  END  ##########
06/06/24 23:45:02 EST -0500 | ########## START ##########
06/06/24 23:45:07 EST -0500 | ##########  END  ##########
06/07/24 23:45:02 EST -0500 | ########## START ##########
06/07/24 23:45:07 EST -0500 | ##########  END  ##########
06/08/24 23:45:01 EST -0500 | ########## START ##########
06/08/24 23:45:07 EST -0500 | ##########  END  ##########
06/09/24 23:45:01 EST -0500 | ########## START ##########
06/09/24 23:45:07 EST -0500 | ##########  END  ##########
06/10/24 23:45:02 EST -0500 | ########## START ##########
06/10/24 23:45:06 EST -0500 | ##########  END  ##########
06/11/24 23:45:02 EST -0500 | ########## START ##########
06/11/24 23:45:07 EST -0500 | ##########  END  ##########
06/12/24 23:45:02 EST -0500 | ########## START ##########
06/12/24 23:45:07 EST -0500 | ##########  END  ##########
06/13/24 23:45:02 EST -0500 | ########## START ##########
06/13/24 23:45:07 EST -0500 | ##########  END  ##########
06/14/24 23:45:01 EST -0500 | ########## START ##########
06/14/24 23:45:07 EST -0500 | ##########  END  ##########
06/15/24 23:45:02 EST -0500 | ########## START ##########
06/15/24 23:45:08 EST -0500 | ##########  END  ##########
06/16/24 23:45:02 EST -0500 | ########## START ##########
06/16/24 23:45:08 EST -0500 | ##########  END  ##########
06/17/24 23:45:02 EST -0500 | ########## START ##########
06/17/24 23:45:06 EST -0500 | ##########  END  ##########
06/18/24 23:45:02 EST -0500 | ########## START ##########
06/18/24 23:45:07 EST -0500 | ##########  END  ##########
06/19/24 23:45:02 EST -0500 | ########## START ##########
06/19/24 23:45:07 EST -0500 | ##########  END  ##########
06/20/24 23:45:02 EST -0500 | ########## START ##########
06/20/24 23:45:07 EST -0500 | ##########  END  ##########
06/21/24 23:45:02 EST -0500 | ########## START ##########
06/21/24 23:45:08 EST -0500 | ##########  END  ##########
06/22/24 23:45:02 EST -0500 | ########## START ##########
06/22/24 23:45:07 EST -0500 | ##########  END  ##########
06/23/24 23:45:02 EST -0500 | ########## START ##########
06/23/24 23:45:08 EST -0500 | ##########  END  ##########
06/24/24 23:45:02 EST -0500 | ########## START ##########
06/24/24 23:45:07 EST -0500 | ##########  END  ##########
06/25/24 23:45:02 EST -0500 | ########## START ##########
06/25/24 23:45:07 EST -0500 | ##########  END  ##########
06/26/24 23:45:01 EST -0500 | ########## START ##########
06/26/24 23:45:07 EST -0500 | ##########  END  ##########
06/27/24 23:45:02 EST -0500 | ########## START ##########
06/27/24 23:45:07 EST -0500 | ##########  END  ##########
06/28/24 23:45:02 EST -0500 | ########## START ##########
06/28/24 23:45:08 EST -0500 | ##########  END  ##########
06/29/24 23:45:02 EST -0500 | ########## START ##########
06/29/24 23:45:08 EST -0500 | ##########  END  ##########
06/30/24 23:45:02 EST -0500 | ########## START ##########
06/30/24 23:45:08 EST -0500 | ##########  END  ##########
07/08/24 23:45:02 EST -0500 | ########## START ##########
07/08/24 23:45:07 EST -0500 | ##########  END  ##########
07/09/24 23:45:02 EST -0500 | ########## START ##########
07/09/24 23:45:07 EST -0500 | ##########  END  ##########
07/10/24 23:45:02 EST -0500 | ########## START ##########
07/10/24 23:45:06 EST -0500 | ##########  END  ##########
07/11/24 23:45:01 EST -0500 | ########## START ##########
07/11/24 23:45:07 EST -0500 | ##########  END  ##########
07/12/24 23:45:02 EST -0500 | ########## START ##########
07/12/24 23:45:08 EST -0500 | ##########  END  ##########
07/13/24 23:45:01 EST -0500 | ########## START ##########
07/13/24 23:45:07 EST -0500 | ##########  END  ##########
07/14/24 23:45:02 EST -0500 | ########## START ##########
07/14/24 23:45:08 EST -0500 | ##########  END  ##########
07/15/24 23:45:02 EST -0500 | ########## START ##########
07/15/24 23:45:07 EST -0500 | ##########  END  ##########
07/16/24 23:45:02 EST -0500 | ########## START ##########
07/16/24 23:45:07 EST -0500 | ##########  END  ##########
07/17/24 23:45:02 EST -0500 | ########## START ##########
07/17/24 23:45:06 EST -0500 | ##########  END  ##########
07/18/24 23:45:02 EST -0500 | ########## START ##########
07/18/24 23:45:07 EST -0500 | ##########  END  ##########
07/19/24 23:45:02 EST -0500 | ########## START ##########
07/19/24 23:45:08 EST -0500 | ##########  END  ##########
07/20/24 23:45:02 EST -0500 | ########## START ##########
07/20/24 23:45:08 EST -0500 | ##########  END  ##########
07/21/24 23:45:02 EST -0500 | ########## START ##########
07/21/24 23:45:08 EST -0500 | ##########  END  ##########
07/22/24 23:45:02 EST -0500 | ########## START ##########
07/22/24 23:45:06 EST -0500 | ##########  END  ##########
07/23/24 23:45:02 EST -0500 | ########## START ##########
07/23/24 23:45:07 EST -0500 | ##########  END  ##########
07/24/24 23:45:02 EST -0500 | ########## START ##########
07/24/24 23:45:07 EST -0500 | ##########  END  ##########
07/25/24 23:45:01 EST -0500 | ########## START ##########
07/25/24 23:45:07 EST -0500 | ##########  END  ##########
07/26/24 23:45:02 EST -0500 | ########## START ##########
07/26/24 23:45:07 EST -0500 | ##########  END  ##########
07/27/24 23:45:02 EST -0500 | ########## START ##########
07/27/24 23:45:08 EST -0500 | ##########  END  ##########
07/28/24 23:45:02 EST -0500 | ########## START ##########
07/28/24 23:45:08 EST -0500 | ##########  END  ##########
07/29/24 23:45:02 EST -0500 | ########## START ##########
07/29/24 23:45:06 EST -0500 | ##########  END  ##########
07/30/24 23:45:02 EST -0500 | ########## START ##########
07/30/24 23:45:07 EST -0500 | ##########  END  ##########
07/31/24 23:45:02 EST -0500 | ########## START ##########
07/31/24 23:45:07 EST -0500 | ##########  END  ##########
08/01/24 23:45:02 EST -0500 | ########## START ##########
08/01/24 23:45:07 EST -0500 | ##########  END  ##########
08/02/24 23:45:02 EST -0500 | ########## START ##########
08/02/24 23:45:07 EST -0500 | ##########  END  ##########
08/03/24 23:45:02 EST -0500 | ########## START ##########
08/03/24 23:45:08 EST -0500 | ##########  END  ##########
08/04/24 23:45:02 EST -0500 | ########## START ##########
08/04/24 23:45:08 EST -0500 | ##########  END  ##########
08/05/24 23:45:01 EST -0500 | ########## START ##########
08/05/24 23:45:05 EST -0500 | ##########  END  ##########
08/06/24 23:45:02 EST -0500 | ########## START ##########
08/06/24 23:45:07 EST -0500 | ##########  END  ##########
08/07/24 23:45:02 EST -0500 | ########## START ##########
08/07/24 23:45:07 EST -0500 | ##########  END  ##########
08/08/24 23:45:02 EST -0500 | ########## START ##########
08/08/24 23:45:07 EST -0500 | ##########  END  ##########
08/09/24 23:45:02 EST -0500 | ########## START ##########
08/09/24 23:45:08 EST -0500 | ##########  END  ##########
08/10/24 23:45:02 EST -0500 | ########## START ##########
08/10/24 23:45:07 EST -0500 | ##########  END  ##########
08/11/24 23:45:02 EST -0500 | ########## START ##########
08/11/24 23:45:08 EST -0500 | ##########  END  ##########
08/12/24 23:45:02 EST -0500 | ########## START ##########
08/12/24 23:45:08 EST -0500 | ##########  END  ##########
08/13/24 23:45:02 EST -0500 | ########## START ##########
08/13/24 23:45:08 EST -0500 | ##########  END  ##########
08/14/24 23:45:02 EST -0500 | ########## START ##########
08/14/24 23:45:09 EST -0500 | ##########  END  ##########
08/15/24 23:45:01 EST -0500 | ########## START ##########
08/15/24 23:45:08 EST -0500 | ##########  END  ##########
08/16/24 23:45:02 EDT -0400 | ########## START ##########
08/16/24 23:45:09 EDT -0400 | ##########  END  ##########
08/17/24 23:45:01 EDT -0400 | ########## START ##########
08/17/24 23:45:09 EDT -0400 | ##########  END  ##########
08/18/24 23:45:02 EDT -0400 | ########## START ##########
08/18/24 23:45:10 EDT -0400 | ##########  END  ##########
08/19/24 23:45:02 EDT -0400 | ########## START ##########
08/19/24 23:45:06 EDT -0400 | ##########  END  ##########
08/20/24 23:45:02 EDT -0400 | ########## START ##########
08/20/24 23:45:07 EDT -0400 | ##########  END  ##########
08/21/24 23:45:01 EDT -0400 | ########## START ##########
08/21/24 23:45:06 EDT -0400 | ##########  END  ##########
08/22/24 23:45:02 EDT -0400 | ########## START ##########
08/22/24 23:45:07 EDT -0400 | ##########  END  ##########
08/23/24 23:45:02 EDT -0400 | ########## START ##########
08/23/24 23:45:07 EDT -0400 | ##########  END  ##########
08/24/24 23:45:02 EDT -0400 | ########## START ##########
08/24/24 23:45:08 EDT -0400 | ##########  END  ##########
08/25/24 23:45:02 EDT -0400 | ########## START ##########
08/25/24 23:45:08 EDT -0400 | ##########  END  ##########
08/26/24 23:45:02 EDT -0400 | ########## START ##########
08/26/24 23:45:05 EDT -0400 | ##########  END  ##########
08/27/24 23:45:02 EDT -0400 | ########## START ##########
08/27/24 23:45:05 EDT -0400 | ##########  END  ##########
08/28/24 23:45:02 EDT -0400 | ########## START ##########
08/28/24 23:45:07 EDT -0400 | ##########  END  ##########
08/29/24 23:45:02 EDT -0400 | ########## START ##########
08/29/24 23:45:07 EDT -0400 | ##########  END  ##########
08/30/24 23:45:02 EDT -0400 | ########## START ##########
08/30/24 23:45:07 EDT -0400 | ##########  END  ##########
08/31/24 23:45:02 EDT -0400 | ########## START ##########
08/31/24 23:45:07 EDT -0400 | ##########  END  ##########
09/01/24 23:45:02 EDT -0400 | ########## START ##########
09/01/24 23:45:08 EDT -0400 | ##########  END  ##########
09/02/24 23:45:02 EDT -0400 | ########## START ##########
09/02/24 23:45:07 EDT -0400 | ##########  END  ##########
09/03/24 23:45:02 EDT -0400 | ########## START ##########
09/03/24 23:45:06 EDT -0400 | ##########  END  ##########
09/04/24 23:45:02 EDT -0400 | ########## START ##########
09/04/24 23:45:07 EDT -0400 | ##########  END  ##########
09/05/24 23:45:02 EDT -0400 | ########## START ##########
09/05/24 23:45:08 EDT -0400 | ##########  END  ##########
09/06/24 23:45:02 EDT -0400 | ########## START ##########
09/06/24 23:45:07 EDT -0400 | ##########  END  ##########
09/07/24 23:45:02 EDT -0400 | ########## START ##########
09/07/24 23:45:08 EDT -0400 | ##########  END  ##########
09/08/24 23:45:02 EDT -0400 | ########## START ##########
09/08/24 23:45:08 EDT -0400 | ##########  END  ##########
09/09/24 23:45:02 EDT -0400 | ########## START ##########
09/09/24 23:45:06 EDT -0400 | ##########  END  ##########
09/10/24 23:45:02 EDT -0400 | ########## START ##########
09/10/24 23:45:07 EDT -0400 | ##########  END  ##########
09/11/24 23:45:01 EDT -0400 | ########## START ##########
09/11/24 23:45:06 EDT -0400 | ##########  END  ##########
09/12/24 23:45:02 EDT -0400 | ########## START ##########
09/12/24 23:45:07 EDT -0400 | ##########  END  ##########
09/13/24 23:45:02 EDT -0400 | ########## START ##########
09/13/24 23:45:07 EDT -0400 | ##########  END  ##########
09/14/24 23:45:02 EDT -0400 | ########## START ##########
09/14/24 23:45:08 EDT -0400 | ##########  END  ##########
09/15/24 23:45:01 EDT -0400 | ########## START ##########
09/15/24 23:45:07 EDT -0400 | ##########  END  ##########
09/16/24 23:45:02 EDT -0400 | ########## START ##########
09/16/24 23:45:08 EDT -0400 | ##########  END  ##########
09/17/24 23:45:02 EDT -0400 | ########## START ##########
09/17/24 23:45:06 EDT -0400 | ##########  END  ##########
09/18/24 23:45:02 EDT -0400 | ########## START ##########
09/18/24 23:45:07 EDT -0400 | ##########  END  ##########
09/23/24 23:45:02 EDT -0400 | ########## START ##########
09/23/24 23:45:06 EDT -0400 | ##########  END  ##########
09/24/24 23:45:02 EDT -0400 | ########## START ##########
09/24/24 23:45:06 EDT -0400 | ##########  END  ##########
09/25/24 23:45:01 EDT -0400 | ########## START ##########
09/25/24 23:45:06 EDT -0400 | ##########  END  ##########
09/26/24 23:45:02 EDT -0400 | ########## START ##########
09/26/24 23:45:07 EDT -0400 | ##########  END  ##########
09/27/24 23:45:02 EDT -0400 | ########## START ##########
09/27/24 23:45:07 EDT -0400 | ##########  END  ##########
09/28/24 23:45:02 EDT -0400 | ########## START ##########
09/28/24 23:45:08 EDT -0400 | ##########  END  ##########
09/29/24 23:45:02 EDT -0400 | ########## START ##########
09/29/24 23:45:08 EDT -0400 | ##########  END  ##########
09/30/24 23:45:02 EDT -0400 | ########## START ##########
09/30/24 23:45:08 EDT -0400 | ##########  END  ##########
10/01/24 23:45:02 EDT -0400 | ########## START ##########
10/01/24 23:45:06 EDT -0400 | ##########  END  ##########
10/02/24 23:45:01 EDT -0400 | ########## START ##########
10/02/24 23:45:06 EDT -0400 | ##########  END  ##########
10/03/24 23:45:02 EDT -0400 | ########## START ##########
10/03/24 23:45:06 EDT -0400 | ##########  END  ##########
10/04/24 23:45:02 EDT -0400 | ########## START ##########
10/04/24 23:45:07 EDT -0400 | ##########  END  ##########
10/05/24 23:45:02 EDT -0400 | ########## START ##########
10/05/24 23:45:07 EDT -0400 | ##########  END  ##########
10/06/24 23:45:02 EDT -0400 | ########## START ##########
10/06/24 23:45:07 EDT -0400 | ##########  END  ##########
10/07/24 23:45:02 EDT -0400 | ########## START ##########
10/07/24 23:45:07 EDT -0400 | ##########  END  ##########
10/08/24 23:45:02 EDT -0400 | ########## START ##########
10/08/24 23:45:08 EDT -0400 | ##########  END  ##########
10/09/24 23:45:02 EDT -0400 | ########## START ##########
10/09/24 23:45:09 EDT -0400 | ##########  END  ##########
10/10/24 23:45:01 EDT -0400 | ########## START ##########
10/10/24 23:45:08 EDT -0400 | ##########  END  ##########
10/11/24 23:45:02 EDT -0400 | ########## START ##########
10/11/24 23:45:09 EDT -0400 | ##########  END  ##########
10/12/24 23:45:02 EDT -0400 | ########## START ##########
10/12/24 23:45:09 EDT -0400 | ##########  END  ##########
10/13/24 23:45:02 EDT -0400 | ########## START ##########
10/13/24 23:45:09 EDT -0400 | ##########  END  ##########
10/14/24 23:45:03 EDT -0400 | ########## START ##########
10/14/24 23:45:11 EDT -0400 | ##########  END  ##########
10/15/24 23:45:02 EDT -0400 | ########## START ##########
10/15/24 23:45:06 EDT -0400 | ##########  END  ##########
10/16/24 23:45:02 EDT -0400 | ########## START ##########
10/16/24 23:45:07 EDT -0400 | ##########  END  ##########
10/17/24 23:45:02 EDT -0400 | ########## START ##########
10/17/24 23:45:07 EDT -0400 | ##########  END  ##########
10/18/24 23:45:02 EDT -0400 | ########## START ##########
10/18/24 23:45:07 EDT -0400 | ##########  END  ##########
10/19/24 23:45:02 EDT -0400 | ########## START ##########
10/19/24 23:45:07 EDT -0400 | ##########  END  ##########
10/20/24 23:45:02 EDT -0400 | ########## START ##########
10/20/24 23:45:08 EDT -0400 | ##########  END  ##########
10/21/24 23:45:02 EDT -0400 | ########## START ##########
10/21/24 23:45:06 EDT -0400 | ##########  END  ##########
10/22/24 23:45:02 EDT -0400 | ########## START ##########
10/22/24 23:45:07 EDT -0400 | ##########  END  ##########
10/23/24 23:45:02 EDT -0400 | ########## START ##########
10/23/24 23:45:07 EDT -0400 | ##########  END  ##########
10/24/24 23:45:02 EDT -0400 | ########## START ##########
10/24/24 23:45:07 EDT -0400 | ##########  END  ##########
10/25/24 23:45:01 EDT -0400 | ########## START ##########
10/25/24 23:45:07 EDT -0400 | ##########  END  ##########
10/26/24 23:45:02 EDT -0400 | ########## START ##########
10/26/24 23:45:08 EDT -0400 | ##########  END  ##########
10/27/24 23:45:02 EDT -0400 | ########## START ##########
10/27/24 23:45:08 EDT -0400 | ##########  END  ##########
10/28/24 23:45:01 EDT -0400 | ########## START ##########
10/28/24 23:45:08 EDT -0400 | ##########  END  ##########
10/29/24 23:45:01 EDT -0400 | ########## START ##########
10/29/24 23:45:06 EDT -0400 | ##########  END  ##########
10/30/24 23:45:02 EDT -0400 | ########## START ##########
